,Total_percent,Total_CI,Total_number,Female_percent,Female_CI,Female_number,Male_percent,Male_CI,Male_number
Total,6.20%,(4.6%-7.8%),280,5.30%,(3.6%-7.0%),118,6.50%,(4.2%-8.8%),147
----Age----,,,,,,,,,
14 or younger,4.40%,(2.3%-6.6%),30,3.90%,(0.4%-7.5%),14,3.70%,(0.5%-6.9%),12
15,4.80%,(2.2%-7.5%),52,6.30%,(2.4%-10.2%),34,3.10%,(0.5%-5.7%),16
16,5.70%,(3.3%-8.0%),63,2.90%,(1.1%-4.7%),16,7.80%,(3.6%-12.0%),42
17,7.10%,(4.3%-9.8%),80,6.30%,(3.6%-9.1%),35,7.50%,(2.8%-12.1%),43
18 or older,10.30%,(9.9%-10.7%),54,8.70%,(5.6%-11.8%),20,11.10%,(8.1%-14.2%),34
----Grade----,,,,,,,,,
Grade 9,4.00%,(0.4%-7.6%),45,4.80%,(0.0%-9.5%),27,2.90%,(0.0%-6.6%),16
Grade 10,4.90%,(3.6%-6.1%),53,4.40%,(2.6%-6.1%),23,5.00%,(3.4%-6.6%),27
Grade 11,6.60%,(3.1%-10.0%),70,4.80%,(2.1%-7.4%),26,7.90%,(2.3%-13.4%),41
Grade 12,8.40%,(6.9%-9.9%),100,6.80%,(5.4%-8.3%),38,9.70%,(6.7%-12.7%),60
----Race/Ethnicity----,,,,,,,,,
Hispanic,9.90%,(8.2%-11.7%),19,9.20%,(0.0%-18.5%),8,9.00%,(2.6%-15.3%),9
Non-Hispanic,5.80%,(4.0%-7.6%),243,4.90%,(3.1%-6.6%),101,6.40%,(3.7%-9.0%),134
American Indian or Alaskan Native,6.90%,(1.6%-12.2%),6,*,*,*,*,*,*
Asian,*,*,*,*,*,*,*,*,*
Black or African American,2.40%,(1.1%-3.7%),8,*,*,*,*,*,*
Native Hawaiian or Other Pacific Islander,33.20%,(4.9%-61.6%),8,*,*,*,*,*,*
White,6.00%,(4.0%-8.0%),221,5.00%,(3.2%-6.8%),89,6.70%,(3.7%-9.8%),126
Multiple Races,7.90%,(2.7%-13.2%),19,5.70%,(1.1%-10.3%),7,9.80%,(0.0%-21.0%),10
