,Total_percent,Total_CI,Total_number,Female_percent,Female_CI,Female_number,Male_percent,Male_CI,Male_number
Total,10.70%,(8.5%-13.0%),467,8.10%,(4.7%-11.4%),169,13.30%,(9.8%-16.7%),294
----Age----,,,,,,,,,
14 or younger,5.70%,(3.7%-7.8%),31,6.50%,(2.3%-10.6%),18,5.00%,(0.0%-10.0%),13
15,9.70%,(8.2%-11.1%),102,9.80%,(6.3%-13.2%),51,9.30%,(8.0%-10.7%),49
16,9.40%,(6.5%-12.4%),107,8.10%,(5.9%-10.2%),44,10.90%,(6.6%-15.2%),63
17,14.40%,(9.6%-19.2%),155,6.60%,(1.2%-11.9%),34,21.70%,(12.3%-31.1%),121
18 or older,14.10%,(8.4%-19.7%),69,10.20%,(1.4%-19.1%),22,17.40%,(11.0%-23.8%),47
----Grade----,,,,,,,,,
Grade 9,6.30%,(4.3%-8.3%),66,6.00%,(4.5%-7.4%),28,6.70%,(3.9%-9.5%),38
Grade 10,9.20%,(6.9%-11.6%),101,9.20%,(6.7%-11.7%),49,9.20%,(6.1%-12.2%),49
Grade 11,13.20%,(8.4%-18.0%),145,8.20%,(2.6%-13.8%),46,18.30%,(9.5%-27.2%),99
Grade 12,13.30%,(7.1%-19.5%),139,8.00%,(2.3%-13.7%),40,18.30%,(8.5%-28.1%),99
----Race/Ethnicity----,,,,,,,,,
American Indian or Alaskan Native**,17.00%,(5.9%-28.1%),10,^,^,^,^,^,^
Asian**,*,*,*,^,^,^,^,^,^
Black or African American**,3.80%,(0.0%-9.7%),8,^,^,^,^,^,^
Hispanic,20.40%,(11.9%-28.8%),32,^,^,^,^,^,^
Native Hawaiian or Other Pacific Islander**,*,*,*,^,^,^,^,^,^
White**,10.90%,(9.0%-12.8%),387,^,^,^,^,^,^
Multiple races**,11.30%,(7.5%-15.0%),12,^,^,^,^,^,^
