,Total_percent,Total_CI,Total_number,Female_percent,Female_CI,Female_number,Male_percent,Male_CI,Male_number
Total,7.70%,(6.2%-9.2%),337,7.20%,(4.9%-9.5%),158,7.60%,(6.3%-9.0%),164
----Age----,,,,,,,,,
14 or younger,5.40%,(3.9%-6.9%),33,5.30%,(0.6%-10.0%),17,3.30%,(0.0%-6.8%),9
15,5.00%,(3.8%-6.3%),57,5.10%,(3.6%-6.6%),28,5.00%,(3.7%-6.3%),28
16,6.40%,(5.4%-7.5%),67,6.30%,(4.3%-8.3%),34,6.30%,(3.2%-9.4%),32
17,10.50%,(6.3%-14.7%),113,11.70%,(7.4%-15.9%),64,9.40%,(5.2%-13.6%),49
18 or older,12.80%,(7.7%-17.8%),64,5.90%,(1.4%-10.3%),13,16.20%,(9.4%-23.1%),45
----Grade----,,,,,,,,,
Grade 9,4.10%,(2.7%-5.4%),46,5.10%,(3.3%-6.8%),30,2.80%,(0.8%-4.9%),15
Grade 10,5.60%,(4.4%-6.9%),63,4.80%,(2.4%-7.2%),26,6.50%,(4.8%-8.1%),37
Grade 11,8.80%,(7.2%-10.3%),89,9.90%,(7.4%-12.5%),52,7.70%,(5.0%-10.4%),37
Grade 12,11.20%,(6.7%-15.7%),117,8.50%,(1.9%-15.1%),44,13.10%,(9.5%-16.6%),69
----Race/Ethnicity----,,,,,,,,,
Hispanic,24.80%,(14.2%-35.5%),46,^,^,^,^,^,^
Non-Hispanic,6.70%,(5.5%-8.0%),275,^,^,^,^,^,^
American Indian or Alaskan Native,13.70%,(7.8%-19.7%),15,^,^,^,^,^,^
Asian,17.50%,(10.3%-24.8%),15,^,^,^,^,^,^
Black or African American,11.10%,(3.3%-19.0%),35,^,^,^,^,^,^
Native Hawaiian or Other Pacific Islander,43.40%,(27.3%-59.4%),14,^,^,^,^,^,^
White,6.30%,(4.7%-8.0%),225,^,^,^,^,^,^
Multiple Races,7.60%,(6.5%-8.8%),15,^,^,^,^,^,^
