,Total_percent,Total_CI,Total_number,Female_percent,Female_CI,Female_number,Male_percent,Male_CI,Male_number
Total,3.80%,(2.7%-4.8%),159,3.40%,(2.4%-4.4%),70,3.90%,(2.3%-5.4%),81
----Age----,,,,,,,,,
14 or younger,3.60%,(1.7%-5.5%),34,2.50%,(0.0%-5.4%),12,3.80%,(1.9%-5.8%),17
15,2.90%,(1.6%-4.2%),31,3.00%,(0.7%-5.3%),16,2.30%,(1.0%-3.5%),12
16,4.20%,(1.3%-7.1%),46,3.40%,(0.2%-6.6%),19,5.10%,(2.1%-8.1%),27
17,4.50%,(2.6%-6.3%),43,4.80%,(2.2%-7.4%),22,4.20%,(0.8%-7.7%),22
18 or older,*,*,*,*,*,*,*,*,*
----Grade----,,,,,,,,,
Grade 9,3.10%,(1.3%-4.9%),33,2.30%,(0.0%-4.7%),12,3.20%,(0.9%-5.5%),17
Grade 10,3.30%,(2.5%-4.0%),35,4.00%,(2.4%-5.6%),21,2.60%,(0.7%-4.6%),14
Grade 11,5.00%,(2.9%-7.0%),50,3.40%,(1.4%-5.3%),17,6.50%,(3.3%-9.8%),34
Grade 12,3.70%,(2.2%-5.2%),37,4.20%,(1.0%-7.3%),20,3.30%,(1.5%-5.1%),17
----Race/Ethnicity----,,,,,,,,,
Hispanic,8.50%,(3.1%-13.8%),11,*,*,*,*,*,*
Non-Hispanic,3.50%,(2.4%-4.5%),139,3.50%,(2.5%-4.4%),68,3.40%,(1.7%-5.0%),67
American Indian or Alaskan Native,8.20%,(0.0%-17.3%),6,*,*,*,*,*,*
Asian,*,*,*,*,*,*,*,*,*
Black or African American,1.40%,(0.0%-3.2%),7,*,*,*,*,*,*
Native Hawaiian or Other Pacific Islander,*,*,*,*,*,*,*,*,*
White,3.60%,(2.6%-4.6%),121,3.90%,(2.7%-5.0%),62,3.20%,(1.6%-4.8%),55
Multiple Races,5.00%,(1.8%-8.2%),9,*,*,*,*,*,*
